Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
-TL- B̶o̶$̶$̶m̶a̶n̶,69,9,7.67,20,0.78,0.1,1,2,0,0,17.00,4.00,[ESPT] HiSpeedHilly: 1,[ESPT] Kiwi: 4,"75MM CANNON [Sd.Kfz.171 Panther]: 40, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 18, COAXIAL MG34 [Sd.Kfz.171 Panther]: 5, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 3, COAXIAL MG34 [Sd.Kfz.121 Luchs]: 2, COAXIAL MG34: 1",http://144.126.151.248:8010/#/gamescoreboard/8090
CHMA | Butter Dog,69,28,2.46,11,0.78,0.32,4,0,0,0,10.00,1.00,[ESPT] Three: 7,[ESPT] Villanovanavy: 15,"FG42 x4: 42, KARABINER 98K x8: 20, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 5, FELDSPATEN: 1, COAXIAL MG34 [Sd.Kfz.234 Puma]: 1",http://144.126.151.248:8010/#/gamescoreboard/8090
-TL- chickenNwaffles,68,42,1.62,7,0.78,0.48,5,2,3,1,6.00,1.00,Scythe: 6,Scythe: 8,"GEWEHR 43: 65, M43 STIELHANDGRANATE: 2, STG44: 1",http://144.126.151.248:8010/#/gamescoreboard/8090
[ESPT] DashThirty,67,37,1.81,11,0.76,0.42,5,1,0,0,8.00,0.00,(WTH) Sgt. Rico: 3,-TL- Tigers0204: 6,M1 GARAND: 67,http://144.126.151.248:8010/#/gamescoreboard/8090
-TL- Bloody-Nine,65,42,1.55,9,0.73,0.47,4,1,1,1,6.00,1.00,[ESPT] Sikon: 4,[ESPT] Mack: 11,"GEWEHR 43: 63, MP40: 2",http://144.126.151.248:8010/#/gamescoreboard/8090
[ESPT] Valhalla,74,9,8.22,16,1.43,0.17,1,2,0,0,11.00,2.00,C o C o: 3,CisterPhister: 5,"MG42: 73, GMC CCKW 353 (Supply): 1",http://144.126.151.248:8010/#/gamescoreboard/8081
[ESPT] Valhalla,111,23,4.83,19,1.4,0.29,2,0,0,0,12.00,0.00,[ESPT] WimZy: 2,Madness: 7,"GEWEHR 43: 110, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8074
[ESPT] Clabsos,74,35,2.11,10,1.24,0.59,4,0,1,1,6.00,0.00,[ESPT] ErichHartman: 7,Nitrox221: 6,"STG44: 61, KARABINER 98K: 8, GEWEHR 43: 3, PANZERSCHRECK: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8074
[ESPT] WimZy,68,9,7.56,18,0.86,0.11,2,4,0,0,21.00,2.00,HAMMERNUTTS: 2,Midnight Govnah: 3,"76MM M1 GUN [Sherman M4A3E2(76)]: 28, 75MM CANNON [Sherman M4A3(75)W]: 16, M1 GARAND: 14, COAXIAL M1919 [Sherman M4A3E2(76)]: 4, COAXIAL M1919 [Sherman M4A3(75)W]: 3, 155MM HOWITZER [M114]: 2, COAXIAL M1919: 1",http://144.126.151.248:8010/#/gamescoreboard/8074
[ESPT] WimZy,74,4,18.5,23,1.23,0.07,1,0,0,0,23.00,4.00,Invader: 4,Invader: 7,"150MM HOWITZER [sFH 18]: 58, GEWEHR 43: 15, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8072
Invader,69,23,3,14,0.79,0.26,2,0,1,1,10.00,1.00,-TL- Streets: 9,-TL- Streets: 9,"FG42 x4: 67, S-MINE: 1, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8070
OOpenmoutHH,68,1,68,45,0.8,0.01,1,13,0,0,65.00,65.00,I3atazz: 1,Sp00nS: 8,"150MM HOWITZER [sFH 18]: 67, GEWEHR 43: 1",http://144.126.151.248:8010/#/gamescoreboard/8070
[ESPT] Fortress,86,13,6.62,15,0.98,0.15,2,1,0,0,18.00,1.00,_lets: 2,PFC Goose [79thID]: 4,"FG42 x4: 53, KARABINER 98K x8: 30, S-MINE: 3",http://144.126.151.248:8010/#/gamescoreboard/8068
Void | s(k)rtt,81,24,3.38,18,1.05,0.31,4,0,0,0,11.00,0.00,Lahogie: 2,I3atazz: 6,"M1 GARAND: 80, MK2 GRENADE: 1",http://144.126.151.248:8010/#/gamescoreboard/8068
[ESPT] WimZy,80,12,6.67,39,0.9,0.13,2,1,0,0,29.00,0.00,RuthyToast: 7,RuthyToast: 8,"150MM HOWITZER [sFH 18]: 54, GEWEHR 43: 25, MP40: 1",http://144.126.151.248:8010/#/gamescoreboard/8068
You Gotta Be Kitten,68,30,2.27,11,0.85,0.38,3,0,0,0,6.00,1.00,[ESPT] Fortress: 3,RobotJesus: 4,"M1 GARAND: 60, M3 GREASE GUN: 7, BAZOOKA: 1",http://144.126.151.248:8010/#/gamescoreboard/8068
[ESPT] DashThirty,90,42,2.14,11,1.02,0.48,4,1,1,1,7.00,0.00,[ESPT] JoeK: 4,[ESPR] Mason: 6,"M1 GARAND: 83, BAZOOKA: 5, UNKNOWN: 2",http://144.126.151.248:8010/#/gamescoreboard/8060
[ESPT] Joh,82,35,2.34,15,0.95,0.4,3,0,0,0,9.00,0.00,Masonmorgan1998: 4,T-Snydes: 8,"M1 GARAND: 80, UNKNOWN: 1, M97 TRENCH GUN: 1",http://144.126.151.248:8010/#/gamescoreboard/8060
[ESPT] T_RAH,77,40,1.93,13,0.89,0.46,3,0,0,0,7.00,1.00,[ESPT] Onety One: 5,HangryPanda: 5,"MG42: 76, MP40: 1",http://144.126.151.248:8010/#/gamescoreboard/8060
Arcaidan,76,30,2.53,16,0.88,0.35,4,1,1,1,13.00,0.00,[ESPT] T_RAH: 5,pablocuellar: 7,"M1 GARAND: 57, 155MM HOWITZER [M114]: 12, BAZOOKA: 7",http://144.126.151.248:8010/#/gamescoreboard/8060
