Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
Mleczny Golem,71,20,3.55,10,0.82,0.23,3,3,0,0,10.00,1.00,Coach Luminal: 2,Zenek: 5,"M1A1 THOMPSON: 38, M1 GARAND: 14, BOMBING RUN: 10, HULL M1919 [Sherman M4A3(75)W]: 6, STRAFING RUN: 3",http://178.18.254.195:8010/#/gamescoreboard/4511
WaTaHa || Franuch_Do,71,21,3.38,22,0.82,0.24,4,0,0,0,15.00,0.00,S.S.O. | Majess: 4,S.S.O. | mariomro9: 4,"MG42: 70, FELDSPATEN: 1",http://178.18.254.195:8010/#/gamescoreboard/4511
S.S.O. | Mrowa_pawel,65,22,2.95,47,0.88,0.3,4,4,0,0,32.00,0.00,kowasl: 4,《-Voremin-》: 3,"76MM M1 GUN [Sherman M4A3E2(76)]: 43, M1 GARAND: 11, COAXIAL M1919 [Sherman M4A3E2(76)]: 7, M1A1 THOMPSON: 4",http://178.18.254.195:8010/#/gamescoreboard/4511
S.S.O. | LANCPAMPARA,65,16,4.06,44,0.88,0.22,4,1,0,0,28.00,1.00,Frost: 2,Sławecki: 4,"155MM HOWITZER [M114]: 47, M1918A2 BAR: 16, MK2 GRENADE: 2",http://178.18.254.195:8010/#/gamescoreboard/4497
S.S.O. | LANCPAMPARA,96,23,4.17,22,1.08,0.26,3,0,0,0,12.00,0.00,Ślizki: 2,LEVY: 6,"STG44: 85, M1918A2 BAR: 5, M43 STIELHANDGRANATE: 4, MP40: 2",http://178.18.254.195:8010/#/gamescoreboard/4495
S.S.O. | Praktykant,79,21,3.76,9,0.97,0.26,2,0,1,1,9.00,1.00,kowasl: 3,kowasl: 5,"FG42 x4: 78, M2 AP MINE: 1",http://178.18.254.195:8010/#/gamescoreboard/4495
HungarianMerc,67,0,67,67,1.5,0,0,2,0,0,0.00,167.00,,NEMESIS: 5,122MM HOWITZER [M1938 (M-30)]: 67,http://178.18.254.195:8010/#/gamescoreboard/4492
Oficer Jebix,109,2,54.5,67,2.35,0.04,1,9,0,0,15.00,3.00,Xlzelda: 1,wupp44: 9,"155MM HOWITZER [M114]: 108, M1 CARBINE: 1",http://178.18.254.195:8010/#/gamescoreboard/4488
Faber,107,2,53.5,101,1.79,0.03,2,1,0,0,38.00,1.00,MrCapJr: 1,ReBus: 7,"155MM HOWITZER [M114]: 103, BROWNING M1919: 3, TELLERMINE 43: 1",http://178.18.254.195:8010/#/gamescoreboard/4484
Trein05,84,3,28,54,1.44,0.05,2,6,0,0,25.00,3.00,Blakuu: 1,Daddy cheesey: 5,"75MM CANNON [Sd.Kfz.161 Panzer IV]: 52, 75MM CANNON [Sd.Kfz.171 Panther]: 26, COAXIAL MG34 [Sd.Kfz.171 Panther]: 4, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 2",http://178.18.254.195:8010/#/gamescoreboard/4484
[LL] Diamond Storm,98,4,24.5,34,1.11,0.05,1,4,0,0,38.00,6.00,Over_The_Rainbow: 2,kanikbk: 7,"76MM M1 GUN [Sherman M4A3E2(76)]: 62, 75MM CANNON [Sherman M4A3(75)W]: 22, COAXIAL M1919 [Sherman M4A3E2(76)]: 11, COAXIAL M1919 [Sherman M4A3(75)W]: 3",http://178.18.254.195:8010/#/gamescoreboard/4476
barnabson1983,86,6,14.33,85,1.12,0.08,5,13,0,0,56.00,1.00,Tenir: 1,AnsgarRex: 6,"155MM HOWITZER [M114]: 84, M1 GARAND: 1, TELLERMINE 43: 1",http://178.18.254.195:8010/#/gamescoreboard/4476
ТеRеh,84,4,21,82,0.95,0.05,2,5,0,0,66.00,3.00,showtek12: 3,Lucas AKA Bicki: 10,"155MM HOWITZER [M114]: 82, UNKNOWN: 1, M1 CARBINE: 1",http://178.18.254.195:8010/#/gamescoreboard/4476
Jawcik,80,4,20,30,0.92,0.05,1,1,0,0,13.00,11.00,Over_The_Rainbow: 2,AnsgarRex: 5,"37MM CANNON [Stuart M5A1]: 35, 75MM CANNON [Sherman M4A3(75)W]: 27, COAXIAL M1919 [Stuart M5A1]: 16, COAXIAL M1919 [Sherman M4A3(75)W]: 2",http://178.18.254.195:8010/#/gamescoreboard/4476
Omlecik,73,15,4.87,39,0.89,0.18,4,2,0,0,10.00,1.00,Kuciek: 3,Zwirek: 7,"155MM HOWITZER [M114]: 36, M1 GARAND: 17, BROWNING M1919: 10, M1 CARBINE: 4, BAZOOKA: 3, TELLERMINE 43: 3",http://178.18.254.195:8010/#/gamescoreboard/4476
KnightsCross,68,6,11.33,62,0.89,0.08,3,5,0,0,12.00,1.00,S.S.O. | Cichy86--PL: 2,WYDLentoisäntä?: 5,"150MM HOWITZER [sFH 18]: 65, MP40: 3",http://178.18.254.195:8010/#/gamescoreboard/4471
S.S.O. | Cacer,71,3,23.67,49,1.38,0.06,1,0,0,0,32.00,3.00,Adi0_: 1,starszy sierżant ma: 6,"50mm KwK 39/1 [Sd.Kfz.234 Puma]: 35, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 19, COAXIAL MG34 [Sd.Kfz.234 Puma]: 14, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 3",http://178.18.254.195:8010/#/gamescoreboard/4455
Siamciaramcia,94,1,94,55,1.68,0.02,1,4,0,0,41.00,41.00,W1111-2222_: 1,[SUTY]☭Reznof☭: 7,150MM HOWITZER [sFH 18]: 94,http://178.18.254.195:8010/#/gamescoreboard/4453
Inm0ral,74,5,14.8,40,1.35,0.09,1,10,0,0,18.00,4.00,CGPL: 1,PanDzaku: 6,"155MM HOWITZER [M114]: 50, BOMBING RUN: 11, M1 GARAND: 7, STRAFING RUN: 5, TELLERMINE 43: 1",http://178.18.254.195:8010/#/gamescoreboard/4453
Pixelgamer1541,76,2,38,52,0.87,0.02,1,8,0,0,48.00,37.00,Doodo: 1,Sahn-UzarHerald: 6,"150MM HOWITZER [sFH 18]: 74, KARABINER 98K: 2",http://178.18.254.195:8010/#/gamescoreboard/4450
Pervert,70,21,3.33,15,0.8,0.24,2,2,3,1,11.00,1.00,Big R banditcamp.com: 3,IMDABES: 6,"GEWEHR 43: 58, M43 STIELHANDGRANATE: 9, KARABINER 98K: 2, MK2 GRENADE: 1",http://178.18.254.195:8010/#/gamescoreboard/4450
HLL.PL | Pascal,68,2,34,33,1.04,0.03,1,2,0,0,29.00,27.00,Osman90s: 1,Pawlik86: 5,"75MM CANNON [Sd.Kfz.171 Panther]: 42, 88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 26",http://178.18.254.195:8010/#/gamescoreboard/4446
AngryRemi,75,32,2.34,14,1.14,0.49,3,0,0,0,11.00,1.00,Noitatohtori: 3,Bonzo: 5,"GEWEHR 43: 37, MG42: 25, LUGER P08: 6, UNKNOWN: 5, M43 STIELHANDGRANATE: 2",http://178.18.254.195:8010/#/gamescoreboard/4434
WaTaHa || Kirkor,80,16,5,27,0.86,0.17,2,0,0,0,16.00,1.00,S.S.O. | Zielony: 3,Franz: 5,"M1903 SPRINGFIELD: 71, FG42 x4: 8, UNKNOWN: 1",http://178.18.254.195:8010/#/gamescoreboard/4393
WaTaHa || Lukar,77,25,3.08,17,0.83,0.27,3,0,1,1,14.00,1.00,S.S.O. | LANCPAMPARA: 4,S.S.O. | LANCPAMPARA: 8,"M1903 SPRINGFIELD: 63, MP40: 6, STRAFING RUN: 5, COLT M1911: 1, BOMBING RUN: 1, MK2 GRENADE: 1",http://178.18.254.195:8010/#/gamescoreboard/4393
CptFlet™,72,7,10.29,31,0.89,0.09,4,6,1,1,19.00,1.00,Zi4rno: 1,WaTaHa || Misiu Yogi: 4,"75MM CANNON [Sd.Kfz.161 Panzer IV]: 30, 88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 15, HULL MG34 [Sd.Kfz.181 Tiger 1]: 10, 75MM CANNON [Sherman M4A3(75)W]: 10, Sd.Kfz.181 Tiger 1: 3, MP40: 2, HULL M1919 [Sherman M4A3(75)W]: 2",http://178.18.254.195:8010/#/gamescoreboard/4393
λλ | Buffonator,66,2,33,42,0.76,0.02,1,1,1,1,68.00,2.00,Quexiuu: 1,PiłSutki: 6,"75MM CANNON [Sd.Kfz.171 Panther]: 62, COAXIAL MG34 [Sd.Kfz.171 Panther]: 3, Sd.Kfz.234 Puma: 1",http://178.18.254.195:8010/#/gamescoreboard/4373
DonPablo,86,22,3.91,18,1.24,0.32,4,1,1,1,8.00,0.00,KoHcTaHTuH: 5,Tiszka: 8,"STG44: 84, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://178.18.254.195:8010/#/gamescoreboard/4368
KoHcTaHTuH,82,17,4.82,50,1.18,0.24,3,0,0,0,19.00,1.00,pappeskemann: 3,DonPablo: 5,"155MM HOWITZER [M114]: 53, M1A1 THOMPSON: 15, M1 GARAND: 8, MK2 GRENADE: 2, SATCHEL: 1, UNKNOWN: 1, M3 GREASE GUN: 1, M97 TRENCH GUN: 1",http://178.18.254.195:8010/#/gamescoreboard/4368
WooDeN,90,2,45,89,1.41,0.03,1,8,0,0,62.00,0.00,Herki: 1,DigBee: 6,"155MM HOWITZER [M114]: 89, M1A1 THOMPSON: 1",http://178.18.254.195:8010/#/gamescoreboard/4353
WaTaHa || Sebinho,66,1,66,66,3.01,0.05,1,2,0,0,17.00,17.00,Parrot: 1,Remek(OOFFF): 6,150MM HOWITZER [sFH 18]: 66,http://178.18.254.195:8010/#/gamescoreboard/4352
mwalinski,65,17,3.82,14,0.85,0.22,3,2,0,0,17.00,0.00,Vodkenstein: 5,Vodkenstein: 6,"SCOPED MOSIN NAGANT 91/30: 37, SCOPED SVT40: 27, NAGANT M1895: 1",http://178.18.254.195:8010/#/gamescoreboard/4201
[ARC] Shifty,88,30,2.93,25,1.65,0.56,3,0,1,1,11.00,0.00,BilboBaggins91: 4,AverageClaw716: 4,"GEWEHR 43: 42, MG42: 35, UNKNOWN: 3, LUGER P08: 3, M43 STIELHANDGRANATE: 3, GMC CCKW 353 (Transport): 2",http://178.18.254.195:8010/#/gamescoreboard/4200
[ARC] Zarkhen,68,22,3.09,8,1.31,0.42,3,1,0,0,6.00,1.00,Cubensis: 3,BilboBaggins91: 4,"GEWEHR 43: 67, UNKNOWN: 1",http://178.18.254.195:8010/#/gamescoreboard/4200
♥Dalker♥,87,3,29,45,0.88,0.03,1,5,0,0,34.00,30.00,Dope: 1,wulfila: 6,"76MM ZiS-5 [T34/76]: 56, COAXIAL DT [T34/76]: 21, HULL DT [T34/76]: 4, PPSH 41: 3, 122MM HOWITZER [M1938 (M-30)]: 2, T34/76: 1",http://178.18.254.195:8010/#/gamescoreboard/4186
Jezus Ipanienko,68,22,3.09,20,0.69,0.22,4,0,1,1,30.00,1.00,Misiozaurus: 5,SinfulProphet: 8,KARABINER 98K x8: 68,http://178.18.254.195:8010/#/gamescoreboard/4186
Cybran M,66,17,3.88,18,0.67,0.17,3,0,0,0,18.00,1.00,S.S.O. | MadsVoorten: 3,STABinski: 4,"DP-27: 45, SCOPED MOSIN NAGANT 91/30: 20, UNKNOWN: 1",http://178.18.254.195:8010/#/gamescoreboard/4186
Jamale1,66,3,22,33,0.67,0.03,2,1,0,0,26.00,20.00,KUBUŚ: 1,pawellus84: 4,"D-5T 85MM [IS-1]: 45, COAXIAL DT [IS-1]: 12, 76MM ZiS-5 [T34/76]: 9",http://178.18.254.195:8010/#/gamescoreboard/4186
WaTaHa || AngryRemi,72,30,2.4,13,1.55,0.65,5,0,0,0,4.00,0.00,Yu: 5,rafal_80: 7,"M1918A2 BAR: 67, M1A1 THOMPSON: 4, MK2 GRENADE: 1",http://178.18.254.195:8010/#/gamescoreboard/4185
NEXT,128,0,128,128,2.7,0,0,4,0,0,0.00,167.00,,Wolfe Tone: 10,"150MM HOWITZER [sFH 18]: 127, TELLERMINE 43: 1",http://178.18.254.195:8010/#/gamescoreboard/4184
Jedlina,99,2,49.5,71,1.6,0.03,2,2,0,0,20.00,11.00,Airwolf: 1,Jimmy Dingle: 7,"75MM CANNON [Sherman M4A1]: 64, COAXIAL M1919 [Sherman M4A1]: 33, S-MINE: 1, TELLERMINE 43: 1",http://178.18.254.195:8010/#/gamescoreboard/4182
Ruul Koekbaard,91,11,8.27,23,1.5,0.18,2,0,0,0,14.00,1.00,kylpykuula: 2,outobot: 7,"FG42 x4: 90, S-MINE: 1",http://178.18.254.195:8010/#/gamescoreboard/4182
WaTaHa || McPremier,66,1,66,47,1.09,0.02,1,2,0,0,47.00,47.00,Ruul Koekbaard: 1,PAPARAS: 3,"BOMBING RUN: 58, STRAFING RUN: 8",http://178.18.254.195:8010/#/gamescoreboard/4182
WaTaHa || McPremier,96,5,19.2,38,1.21,0.06,2,1,1,1,31.00,1.00,duman: 1,[KGrR]krysalkiz (pyr: 7,"76MM M1 GUN [Sherman M4A3E2(76)]: 55, COAXIAL M1919 [Sherman M4A3E2(76)]: 19, 75MM CANNON [Sherman M4A1]: 16, COAXIAL M1919 [Sherman M4A1]: 3, Sd.Kfz 251 Half-track: 2, M1 GARAND: 1",http://178.18.254.195:8010/#/gamescoreboard/4161
S.S.O. | Cichy86--PL,81,1,81,77,2.0,0.02,1,0,1,1,26.00,14.00,Menkhu: 1,Derkaderka: 9,"150MM HOWITZER [sFH 18]: 76, MG42: 4, UNKNOWN: 1",http://178.18.254.195:8010/#/gamescoreboard/4161
S.S.O. | delete,76,4,19,53,1.12,0.06,2,4,0,0,21.00,2.00,[KGrR] Jürgen: 2,[KGrR] Falap_!!!: 9,"76MM M1 GUN [Sherman M4A3E2(76)]: 64, COAXIAL M1919 [Sherman M4A3E2(76)]: 9, TELLERMINE 43: 2, COAXIAL M1919 [Stuart M5A1]: 1",http://178.18.254.195:8010/#/gamescoreboard/4161
Weißschnee,127,1,127,75,4.92,0.04,1,0,0,0,15.00,15.00,oleś: 1,Vladimir.mbf: 7,MP40: 127,http://178.18.254.195:8010/#/gamescoreboard/4143
oleś,105,27,3.89,16,0.85,0.22,3,16,0,0,13.00,1.00,[KGrR]Flg. Klaus: 3,[KGrR]POGMETHEUS: 9,"BOMBING RUN: 50, STRAFING RUN: 36, M1A1 THOMPSON: 19",http://178.18.254.195:8010/#/gamescoreboard/4143
[KGrR]krysalkiz (pyr,92,21,4.38,17,0.75,0.17,3,0,1,1,18.00,1.00,WaTaHa || ZekPe: 6,OsamaBinShopping: 7,MG42: 92,http://178.18.254.195:8010/#/gamescoreboard/4143
[KGrR]Flg. Klaus,71,41,1.73,11,0.58,0.34,7,0,2,1,12.00,0.00,WaTaHa || ZekPe: 4,WaTaHa || Misiu Yogi: 4,"STG44: 39, GEWEHR 43: 29, UNKNOWN: 2, M43 STIELHANDGRANATE: 1",http://178.18.254.195:8010/#/gamescoreboard/4143
[KGrR]Ajik,68,30,2.27,9,0.56,0.25,4,2,2,1,17.00,0.00,Piggo-Sensei: 3,Raven: 7,"STG44: 63, M43 STIELHANDGRANATE: 3, SATCHEL: 1, UNKNOWN: 1",http://178.18.254.195:8010/#/gamescoreboard/4143
WaTaHa || ZekPe,67,53,1.26,8,0.54,0.43,3,0,0,0,13.00,1.00,[KGrR] EbeBE: 4,[KGrR]krysalkiz (pyr: 6,"M1 GARAND: 48, BAZOOKA: 9, 57MM CANNON [M1 57mm]: 9, M3 KNIFE: 1",http://178.18.254.195:8010/#/gamescoreboard/4143
lethal,74,0,74,74,2.59,0,0,8,0,0,0.00,167.00,,iron420: 6,150MM HOWITZER [sFH 18]: 74,http://178.18.254.195:8010/#/gamescoreboard/4111
Zygmunt,68,8,8.5,28,1.25,0.15,2,0,0,0,16.00,2.00,Darkovsky: 2,Balders sack: 6,"KARABINER 98K x8: 66, UNKNOWN: 1, WALTHER P38: 1",http://178.18.254.195:8010/#/gamescoreboard/4069
