Steam ID,Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
Steam ID,PAR,75,15,5,20,0.85,0.17,4,1,3,1,13.00,1.00,The Sunfellow: 2,CowChris: 5,"GEWEHR 43: 35, STG44: 26, KARABINER 98K: 6, SATCHEL: 4, S-MINE: 2, UNKNOWN: 1, TELLERMINE 43: 1",https://server2.82nd.gg/#/gamescoreboard/27298
Steam ID,Rip,74,28,2.64,17,1.08,0.41,4,1,2,2,14.00,1.00,Malcom: 4,Evil Gestapo Man: 7,"STG44: 62, 150MM HOWITZER [sFH 18]: 7, M43 STIELHANDGRANATE: 5",https://server2.82nd.gg/#/gamescoreboard/27297
Steam ID,Mumija0007,86,19,4.53,39,1.09,0.24,3,0,0,0,18.00,1.00,Highmountain: 2,MAD NOOB: 8,"M1 GARAND: 80, MK2 GRENADE: 2, M1A1 THOMPSON: 2, UNKNOWN: 1, M3 GREASE GUN: 1",https://server2.82nd.gg/#/gamescoreboard/27296
Steam ID,Rip,89,16,5.56,28,1.05,0.19,2,1,0,0,15.00,1.00,[82AD] Ghost^Recon: 2,[82ADr] DopePope: 8,"STG44: 40, 155MM HOWITZER [M114]: 27, 150MM HOWITZER [sFH 18]: 16, M1918A2 BAR: 3, MK2 GRENADE: 1, M1A1 AT MINE: 1, M43 STIELHANDGRANATE: 1",https://server2.82nd.gg/#/gamescoreboard/27295
Steam ID,Towerful,65,29,2.24,7,0.82,0.37,4,0,0,0,5.00,1.00,[82AD] Terminator: 2,TazDev: 4,"FG42: 62, M43 STIELHANDGRANATE: 2, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/27288
Steam ID,Multinefo,76,19,4,35,0.91,0.23,5,1,0,0,18.00,1.00,Cakestrike: 4,Mesias: 4,"76MM ZiS-5 [T34/76]: 32, MOSIN NAGANT 91/30: 22, SVT40: 7, MOSIN NAGANT 1891: 3, COAXIAL DT [T34/76]: 3, POMZ AP MINE: 3, PPSH 41 W/DRUM: 3, UNKNOWN: 2, SATCHEL CHARGE: 1",https://server2.82nd.gg/#/gamescoreboard/27279
Steam ID,Zombie Blaster,89,3,29.67,89,1.89,0.06,2,5,0,0,40.00,-1.00,[ITK]Farrison Hord: 2,DonaldKai: 14,"150MM HOWITZER [sFH 18]: 88, TELLERMINE 43: 1",https://server2.82nd.gg/#/gamescoreboard/27276
Steam ID,OssyThePuffyUnicorn<,94,9,10.44,42,1.27,0.12,2,4,0,0,18.00,1.00,Iccerus: 2,Chakrulo: 6,"75MM CANNON [Sd.Kfz.161 Panzer IV]: 39, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 24, 88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 21, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 5, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 3, WALTHER P38: 1, COAXIAL MG34 [Sd.Kfz.234 Puma]: 1",https://server2.82nd.gg/#/gamescoreboard/27271
Steam ID,unixdev,66,13,5.08,29,0.76,0.15,2,0,0,0,26.00,1.00,🅶 I|I ✪Manusa: 2,[SYG]Thanatos: 7,"SVT40: 65, MPL-50 SPADE: 1",https://server2.82nd.gg/#/gamescoreboard/27268
Steam ID,Slith,88,12,7.33,25,1.01,0.14,6,6,0,0,20.00,2.00,Unicorn Cyborg: 1,the_heatmiser: 7,"150MM HOWITZER [sFH 18]: 72, GEWEHR 43: 9, MG42: 3, SATCHEL: 2, MP40: 1, Opel Blitz (Supply): 1",https://server2.82nd.gg/#/gamescoreboard/27258
Steam ID,SMP,130,21,6.19,25,1.48,0.24,2,1,3,2,12.00,1.00,Xeon860: 2,Azunite: 9,"KARABINER 98K: 78, MP40: 36, STG44: 10, PANZERSCHRECK: 4, UNKNOWN: 1, FELDSPATEN: 1",https://server2.82nd.gg/#/gamescoreboard/27256
Steam ID,Slith,90,11,8.18,38,1.15,0.14,2,3,1,1,23.00,1.00,cbern40: 2,Cash_N: 8,"150MM HOWITZER [sFH 18]: 45, GEWEHR 43: 31, KARABINER 98K: 11, M43 STIELHANDGRANATE: 2, TELLERMINE 43: 1",https://server2.82nd.gg/#/gamescoreboard/27256
Steam ID,Super,72,10,7.2,36,1.34,0.19,3,3,0,0,13.00,1.00,Cope715: 5,Corn: 5,"155MM HOWITZER [M114]: 51, M1918A2 BAR: 21",https://server2.82nd.gg/#/gamescoreboard/27249
Steam ID,Rip,66,12,5.5,32,0.76,0.14,2,2,0,0,36.00,2.00,The Chocolate Jesus: 3,Prancing Tit: 6,"150MM HOWITZER [sFH 18]: 33, STG44: 30, M43 STIELHANDGRANATE: 3",https://server2.82nd.gg/#/gamescoreboard/27245
Steam ID,SESH || Mocha Cafe,74,13,5.69,19,1.46,0.26,2,0,1,1,15.00,0.00,Skum: 2,GutsMan: 4,"GEWEHR 43: 59, STG44: 11, UNKNOWN: 3, M43 STIELHANDGRANATE: 1",https://server2.82nd.gg/#/gamescoreboard/27233
Steam ID,Yuudai,79,13,6.08,24,0.87,0.14,2,1,0,0,12.00,1.00,Elucive: 2,Reverend Seaman: 5,M1 GARAND: 79,https://server2.82nd.gg/#/gamescoreboard/27214
Steam ID,petscu,72,29,2.48,8,0.8,0.32,3,0,1,1,9.00,0.00,O.D.: 3,Von Strohm: 6,"M1 GARAND: 62, M3 GREASE GUN: 7, MK2 GRENADE: 3",https://server2.82nd.gg/#/gamescoreboard/27213
Steam ID,Vabbu,67,5,13.4,22,2.21,0.17,2,0,0,0,7.00,1.00,Barns: 1,Fogel: 5,FG42 x4: 67,https://server2.82nd.gg/#/gamescoreboard/27204
Steam ID,SESH || Mocha Cafe,66,43,1.53,12,0.75,0.49,6,2,1,1,10.00,0.00,Gengis: 5,Olank: 6,"M1 GARAND: 40, M1918A2 BAR: 14, SATCHEL: 4, M1 CARBINE: 3, UNKNOWN: 2, MK2 GRENADE: 2, M3 GREASE GUN: 1",https://server2.82nd.gg/#/gamescoreboard/27200
Steam ID,soapfuii,112,14,8,34,1.3,0.16,4,5,0,0,20.00,0.00,Grizzly22: 9,Grizzly22: 8,"150MM HOWITZER [sFH 18]: 95, KARABINER 98K: 13, GEWEHR 43: 3, S-MINE: 1",https://server2.82nd.gg/#/gamescoreboard/27185
