Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
(WTH) WashedUpGaming,69,24,2.88,21,1.66,0.58,3,0,0,0,7.00,0.00,(WTHr) Jakob: 6,(WTHr) Jakob: 6,"GEWEHR 43: 66, M43 STIELHANDGRANATE: 2, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14849
WTH | VikkøxX,70,5,14,38,1.53,0.11,2,5,0,0,16.00,2.00,[CBJ] Theempire37: 3,[CBJ] Theempire37: 6,"150MM HOWITZER [sFH 18]: 53, GEWEHR 43: 16, TELLERMINE 43: 1",http://144.91.71.61:8040/#/gamescoreboard/14835
WTH | VikkøxX,70,5,14,38,1.53,0.11,2,5,0,0,16.00,2.00,[CBJ] Theempire37: 3,[CBJ] Theempire37: 6,"150MM HOWITZER [sFH 18]: 53, GEWEHR 43: 16, TELLERMINE 43: 1",http://144.91.71.61:8040/#/gamescoreboard/14834
(WTH) luk3n24,82,13,6.31,57,1.14,0.18,3,4,0,0,16.00,0.00,Mike: 5,Artik: 7,"155MM HOWITZER [M114]: 62, M1A1 THOMPSON: 17, M2 AP MINE: 1, MK2 GRENADE: 1, TELLERMINE 43: 1",http://144.91.71.61:8040/#/gamescoreboard/14815
(WTH) Doodlebugs,105,0,105,105,1.21,0,0,12,0,0,0.00,167.00,,(WTH) Bohemian Cynic: 8,155MM HOWITZER [M114]: 105,http://144.91.71.61:8040/#/gamescoreboard/14813
CoRe | Para,84,51,1.65,16,0.97,0.59,5,0,0,0,6.00,0.00,CoRe | AngryBird: 4,(WTHr) BlueMeanie: 8,"GEWEHR 43: 64, STG44: 20",http://144.91.71.61:8040/#/gamescoreboard/14813
🆂 (WTH) JagdGG,84,0,84,84,0.95,0,0,14,0,0,0.00,167.00,,Smollett: 9,"150MM HOWITZER [sFH 18]: 81, UNKNOWN: 2, TELLERMINE 43: 1",http://144.91.71.61:8040/#/gamescoreboard/14813
(WTH) Incognito,78,16,4.88,17,0.88,0.18,2,0,0,0,18.00,1.00,CoRe | Humpelpumpel: 2,(WTH) NOHUT: 9,MG42: 78,http://144.91.71.61:8040/#/gamescoreboard/14813
CoRe | S.PRΞSSФ,76,38,2,9,0.87,0.44,4,0,0,0,6.00,0.00,(WTH) Jimbo: 4,(WTH) Oskar: 6,"MG42: 75, MP40: 1",http://144.91.71.61:8040/#/gamescoreboard/14813
(WTH)Koukoulele,71,52,1.37,9,0.82,0.6,6,0,2,1,5.00,-1.00,(WTH) kugu: 5,✪ (WTH) Hakubus: 6,"M1 GARAND: 66, BAZOOKA: 4, MK2 GRENADE: 1",http://144.91.71.61:8040/#/gamescoreboard/14813
