Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
CoRe | EXS,187,2,93.5,113,2.56,0.03,1,6,0,0,22.00,5.00,🅶 I|I Neuntöter: 2,bananaaim: 9,"150MM HOWITZER [sFH 18]: 186, GEWEHR 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1062
phx.WELTMEISTER,88,14,6.29,37,1.21,0.19,3,0,0,0,22.00,1.00,Spike: 2,1eissalat: 6,KARABINER 98K x8: 88,http://teamphx.dynv6.net:8010/#/gamescoreboard/1062
CoRe | Zoom,73,34,2.15,11,1.0,0.47,4,2,0,0,7.00,0.00,|HTD| Flauschi: 4,|HTD| Dr.Dolphin: 6,"M1 GARAND: 69, MK2 GRENADE: 4",http://teamphx.dynv6.net:8010/#/gamescoreboard/1062
GrillMeista 🅱ernD,69,1,69,69,0.94,0.01,1,1,0,0,68.00,68.00,phx.Flōriānus: 1,DeadGamingINC: 8,155MM HOWITZER [M114]: 69,http://teamphx.dynv6.net:8010/#/gamescoreboard/1062
Spike,65,4,16.25,36,0.88,0.05,2,1,0,0,37.00,2.00,phx.Haken: 1,fimonsta: 7,"76MM M1 GUN [Sherman M4A3E2(76)]: 43, 75MM CANNON [Sherman M4A3(75)W]: 17, COAXIAL M1919 [Sherman M4A3E2(76)]: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/1062
phx.KAISER Mtbb,80,34,2.35,11,1.1,0.47,3,1,0,0,10.00,0.00,|HTD| Ramses: 2,phx.Haken: 6,"M1 GARAND: 46, KARABINER 98K: 17, GEWEHR 43: 13, UNKNOWN: 2, MG42: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1061
phx.KAISER Mtbb,91,25,3.64,16,1.37,0.38,3,0,0,0,10.00,1.00,|HTD| Ramses: 6,Moini: 8,"FG42 x4: 81, GEWEHR 43: 9, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1059
[StDb] Kyrill71,75,3,25,52,1.01,0.04,1,4,0,0,41.00,5.00,Jim Ti: 1,SaDIsT: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 51, COAXIAL M1919 [Sherman M4A3E2(76)]: 10, 75MM M3 GUN [Sherman M4A3E2]: 8, 75MM CANNON [Sherman M4A1]: 3, COAXIAL M1919 [Sherman M4A3E2]: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/1008
phx.Cedi,72,24,3,17,0.83,0.28,3,0,0,0,12.00,0.00,tibo: 3,[Cul†] Dye*I4: 5,M1903 SPRINGFIELD: 72,http://teamphx.dynv6.net:8010/#/gamescoreboard/1008
tibo,67,19,3.53,18,0.77,0.22,2,0,1,1,10.00,0.00,kenje: 2,Juicy J: 6,"KARABINER 98K x8: 64, WALTHER P38: 2, MP40: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1008
