Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
The Trollfather,76,17,4.47,24,0.93,0.21,4,0,0,0,11.00,1.00,Kräutermann: 3,Darekaj: 10,"FG42 x4: 65, KARABINER 98K x8: 9, S-MINE: 1, WALTHER P38: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/464
CoRe | n1ce,76,37,2.05,10,0.94,0.46,5,0,1,1,7.00,0.00,iLT: 6,iLT: 9,"M1 GARAND: 75, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/464
CoRe | xiM,66,48,1.38,9,0.82,0.59,7,0,0,0,6.00,0.00,Bajonett Bertl: 4,Salty_Morris: 4,"M1 GARAND: 34, M1A1 THOMPSON: 14, M3 GREASE GUN: 13, MK2 GRENADE: 3, SATCHEL: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/464
CoRe | xiM,142,35,4.06,27,1.8,0.44,5,0,2,1,10.00,0.00,cici: 4,Fox: 10,"GEWEHR 43: 130, M43 STIELHANDGRANATE: 10, MG34: 1, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/462
CoRe | n1ce,82,36,2.28,10,1.04,0.46,4,1,0,0,7.00,0.00,phx.SoulRaver: 5,[2ndDE][Pvt]Ketzer: 4,"GEWEHR 43: 80, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/462
CoRe | SovietViking,78,33,2.36,19,0.99,0.42,4,1,1,1,14.00,0.00,phx.B4ttl3frog: 3,Tequija: 5,"MG42: 49, STG44: 18, GEWEHR 43: 7, UNKNOWN: 3, GMC CCKW 353 (Supply): 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/462
phx.SoulRaver,69,40,1.73,8,0.87,0.51,5,0,0,0,6.00,0.00,CoRe | xiM: 5,CoRe | n1ce: 5,"M1 GARAND: 61, BAZOOKA: 6, M3 KNIFE: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/462
phx.B4ttl3frog,65,31,2.1,22,0.82,0.39,4,1,0,0,7.00,0.00,CoRe | .0ffBeaT.: 4,CoRe | n1ce: 4,M1 GARAND: 65,http://teamphx.dynv6.net:8010/#/gamescoreboard/462
CoRe | Raupe,73,24,3.04,16,1.28,0.42,4,0,0,0,6.00,0.00,Kiraflex: 3,Franz Gender: 7,"M1 GARAND: 61, BAZOOKA: 5, SATCHEL: 3, MK2 GRENADE: 2, UNKNOWN: 1, M3 GREASE GUN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/458
RAGNAR,132,16,8.25,49,1.51,0.18,5,17,0,0,20.00,0.00,phx.Demonsoup: 9,phx.LIO: 12,"150MM HOWITZER [sFH 18]: 126, GEWEHR 43: 6",http://teamphx.dynv6.net:8010/#/gamescoreboard/428
[StDb] Düsentrieb,79,68,1.16,15,0.89,0.77,7,0,6,2,5.00,0.00,phx.Booze: 6,phx.bathtubdiver: 7,"STG44: 68, GEWEHR 43: 6, SATCHEL: 3, MP40: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/428
phx.APK,76,56,1.36,9,0.86,0.64,5,0,1,1,6.00,0.00,[StDb] Düsentrieb: 6,pixelsmasher: 8,"M1 GARAND: 58, M1918A2 BAR: 10, BAZOOKA: 3, BROWNING M1919: 3, MK2 GRENADE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/428
phx.b0rni,72,44,1.64,13,0.81,0.5,4,1,1,1,8.00,0.00,[StDb] Düsentrieb: 5,[StDb] dASbEIN: 10,"M1 GARAND: 36, BROWNING M1919: 25, M1918A2 BAR: 5, M3 GREASE GUN: 3, M1 CARBINE: 1, M2 AP MINE: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/428
phx.KAISER Mtbb,71,55,1.29,8,0.8,0.62,4,1,0,0,7.00,0.00,[StDb]Undelux: 8,[StDb]Undelux: 7,"M1 GARAND: 57, BROWNING M1919: 7, BAZOOKA: 2, SATCHEL: 2, M1A1 THOMPSON: 2, COLT M1911: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/428
[StDb]marsmyk,69,32,2.16,17,0.79,0.37,3,1,1,1,10.00,0.00,phx.KAISER Mtbb: 4,phx.Krilopan: 7,"MG42: 45, STG44: 22, MP40: 1, SATCHEL: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/428
[DC] WakandaPerhaps,164,15,10.93,66,1.88,0.17,4,17,0,0,28.00,0.00,phx.Demonsoup: 13,phx.Booze: 12,"150MM HOWITZER [sFH 18]: 163, GEWEHR 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/370
Ninjapulver,116,40,2.9,38,1.33,0.46,5,1,0,0,15.00,0.00,phx.KAISER Mtbb: 5,phx.MarcelPrincessx3: 10,"GEWEHR 43: 99, STG44: 17",http://teamphx.dynv6.net:8010/#/gamescoreboard/370
[DC] Cerius,82,51,1.61,10,0.94,0.58,5,1,3,1,6.00,0.00,[38.] YoloLink: 4,[38.] HehlerHannes: 5,"STG44: 30, GEWEHR 43: 20, MG42: 10, MP40: 8, PANZERSCHRECK: 4, M43 STIELHANDGRANATE: 3, MG34: 3, LUGER P08: 2, KARABINER 98K: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/370
phx.KAISER Mtbb,81,64,1.27,11,0.92,0.73,9,1,0,0,5.00,0.00,Aquiles: 7,Bleicher Junge: 7,"M1 GARAND: 77, BAZOOKA: 2, MK2 GRENADE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/370
[38.] YoloLink,74,11,6.73,19,0.83,0.12,3,0,0,0,16.00,1.00,[DC] knykny91DK: 5,alex1b0ss: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 40, COAXIAL M1919 [Sherman M4A3E2(76)]: 16, 75MM CANNON [Sherman M4A1]: 12, COAXIAL M1919 [Sherman M4A1]: 4, 37MM CANNON [Stuart M5A1]: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/370
Steven,73,35,2.09,12,0.82,0.39,6,1,1,1,6.00,0.00,phx.^goL: 4,phx.DrSnacker ©: 6,GEWEHR 43: 73,http://teamphx.dynv6.net:8010/#/gamescoreboard/370
CoRe | Antroxh´!?,106,26,4.08,14,1.21,0.3,4,0,1,1,7.00,1.00,wrathchild: 2,Maverick: 9,"GEWEHR 43: 101, UNKNOWN: 3, M43 STIELHANDGRANATE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/305
phx.Maawlz,76,28,2.71,19,0.87,0.32,4,0,0,0,10.00,0.00,DrMagnum: 3,GrafKoks: 6,"M1 GARAND: 62, BAZOOKA: 10, 57MM CANNON [M1 57mm]: 3, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/305
phx.LikeanOpa,66,14,4.71,21,0.76,0.16,3,0,0,0,22.00,1.00,edel.christian: 3,ProÐµk†!on™ fl€X: 5,"M1 GARAND: 49, M1918A2 BAR: 8, M97 TRENCH GUN: 6, SATCHEL: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/305
CoRe | Luckii.οne,65,15,4.33,18,1.27,0.29,2,0,0,0,14.00,0.00,Kornwolf 2000: 2,FlashyFlashBert27: 6,"M1 GARAND: 62, MK2 GRENADE: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/304
phx.B4ttl3frog,104,29,3.59,25,1.2,0.34,3,5,0,0,23.00,0.00,phx.limit: 4,SteffiK7: 9,"M1 GARAND: 54, 155MM HOWITZER [M114]: 24, 37MM CANNON [Stuart M5A1]: 20, COAXIAL M1919 [Stuart M5A1]: 3, M3 KNIFE: 2, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/302
phx.APK,87,40,2.17,7,0.98,0.45,4,0,1,1,7.00,0.00,501.es | orujodehier: 4,501.es | lebion_: 8,"STG44: 51, MP40: 10, KARABINER 98K: 9, PANZERSCHRECK: 9, GEWEHR 43: 7, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/288
phx.KAISER Mtbb,82,51,1.61,9,0.92,0.57,4,0,0,0,8.00,0.00,501.es | Isengard.: 6,501.es | GartorH: 9,"GEWEHR 43: 80, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/288
phx.Füllgebäck,73,33,2.21,10,0.82,0.37,3,0,1,1,8.00,0.00,[BST2] Belerofonte: 3,501.es | orujodehier: 5,GEWEHR 43: 73,http://teamphx.dynv6.net:8010/#/gamescoreboard/288
501.es | Franmiwel,72,41,1.76,8,0.81,0.46,4,0,0,0,6.00,0.00,phx.Maawlz: 4,phx.Maawlz: 4,"M1 GARAND: 71, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/288
phx.KIFFIX,68,50,1.36,8,0.79,0.58,7,0,1,1,10.00,0.00,[BST2] Belerofonte: 6,501.es | Force: 5,"MP40: 40, GEWEHR 43: 13, STG44: 10, MG42: 4, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/288
phx.Maawlz,66,47,1.4,9,0.75,0.54,7,2,1,1,6.00,0.00,501.es | Rex: 6,501.es | lebion_: 7,"STG44: 57, SATCHEL: 5, GEWEHR 43: 2, MP40: 1, Sherman M4A3E2: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/288
phx.Maawlz,67,15,4.47,13,1.11,0.25,3,2,0,0,10.00,1.00,!Admn: 1,Adenoid Hynkel: 4,"M1 GARAND: 51, BAZOOKA: 8, 57MM CANNON [M1 57mm]: 6, UNKNOWN: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/243
phx.LikeanOpa,80,26,3.08,19,0.92,0.3,3,0,0,0,10.00,1.00,phx.limette: 2,Nick59: 6,"GEWEHR 43: 69, MP40: 6, M43 STIELHANDGRANATE: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/236
phx.limette,73,33,2.21,9,0.84,0.38,6,0,1,1,8.00,1.00,phx.B4ttl3frog: 4,phx.B4ttl3frog: 4,"M1 GARAND: 66, BAZOOKA: 5, MK2 GRENADE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/236
Nick59,67,45,1.49,29,0.76,0.51,5,0,0,0,12.00,0.00,phx.LikeanOpa: 6,Hightower: 4,"M1 GARAND: 45, M1A1 THOMPSON: 11, M1918A2 BAR: 9, MK2 GRENADE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/236
phx.B4ttl3frog,67,25,2.68,13,0.77,0.29,4,2,0,0,8.00,1.00,phx.limette: 4,phx.CHEeeSE´sCHryST: 6,"MG42: 51, 150MM HOWITZER [sFH 18]: 12, GEWEHR 43: 4",http://teamphx.dynv6.net:8010/#/gamescoreboard/236
phx.Maawlz,67,33,2.03,14,0.77,0.38,4,4,0,0,18.00,0.00,Chraster: 4,Nick59: 5,"STG44: 66, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/236
phx.LikeanOpa,181,2,90.5,169,2.04,0.02,1,6,0,0,74.00,4.00,Holzlöffel: 1,Holzlöffel: 10,"150MM HOWITZER [sFH 18]: 173, GEWEHR 43: 7, M1A1 AT MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/195
OnStage,110,23,4.78,18,1.25,0.26,3,0,0,0,11.00,1.00,phx.Schumberto: 2,Larzende: 9,"MG42: 109, GMC CCKW 353 (Transport): 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/195
JUBA,75,24,3.12,13,1.27,0.41,3,0,0,0,7.00,1.00,phx.LikeanOpa: 4,Chillhelm der Breite: 5,"M1 GARAND: 68, MK2 GRENADE: 6, M97 TRENCH GUN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/195
phx.Maawlz,96,29,3.31,14,1.43,0.43,3,0,0,0,7.00,0.00,phx.Limit: 3,Dimeya: 5,"M1 GARAND: 87, MK2 GRENADE: 6, BAZOOKA: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/192
SlimFame,80,4,20,40,1.19,0.06,2,2,0,0,34.00,2.00,Dr.Pain: 1,Flo: 4,"76MM M1 GUN [Sherman M4A3E2(76)]: 39, M6 37mm [M8 Greyhound]: 21, 75MM CANNON [Sherman M4A1]: 15, COAXIAL M1919 [M8 Greyhound]: 2, COAXIAL M1919 [Sherman M4A1]: 2, COAXIAL M1919 [Sherman M4A3E2(76)]: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/192
OnStage,66,16,4.12,21,0.99,0.24,2,0,1,1,13.00,1.00,DaddyHupe: 4,güssi: 5,"BROWNING M1919: 63, M1A1 THOMPSON: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/192
[DC] Horten_Ho,85,24,3.54,14,1.15,0.32,2,0,1,1,7.00,1.00,|HTD| EinHörnchen: 3,|HTD| HydrantenWilli: 9,"M1 GARAND: 83, MK2 GRENADE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/188
Ninjapulver,67,22,3.05,11,0.89,0.29,4,1,0,0,20.00,0.00,|HTD| GSAK822: 2,|HTD| HydrantenWilli: 4,"M1 GARAND: 61, MK2 GRENADE: 5, M1A1 THOMPSON: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/188
CoRe | Icarus,85,1,85,84,1.26,0.01,1,5,0,0,64.00,64.00,denkdirwas: 1,Cypher: 5,"155MM HOWITZER [M114]: 80, M1 GARAND: 4, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/151
CoRe | Holzbier,75,36,2.08,10,1.16,0.55,4,0,2,2,9.00,0.00,OnkelFungus: 5,Flaxwood: 6,"M1 GARAND: 64, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 9, BAZOOKA: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/151
CoRe | Zoom,66,28,2.36,11,1.02,0.43,4,0,0,0,7.00,1.00,RX_RABZ: 3,Cypher: 7,"M1 GARAND: 52, MK2 GRENADE: 11, UNKNOWN: 2, M3 KNIFE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/151
[CSP] Cakkys44,99,47,2.11,11,1.12,0.53,5,2,0,0,9.00,0.00,Danne: 5,Darth_Grobi: 8,"STG44: 70, SATCHEL: 13, GEWEHR 43: 11, M43 STIELHANDGRANATE: 4, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/137
It'sGuardianTime,110,5,22,38,1.25,0.06,1,1,0,0,25.00,8.00,Hold/MY/Beer: 3,Flocco ♿: 5,"88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 72, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 31, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 6, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/108
phx.B4ttl3frog,84,33,2.55,8,0.95,0.37,3,0,0,0,7.00,0.00,phx.Bodinger: 2,SchlagImNacken: 5,"M1 GARAND: 79, MK2 GRENADE: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/108
phx.b0rni,73,13,5.62,51,0.84,0.15,3,0,0,0,46.00,1.00,Notorious T.i.B.: 2,g60phantomrider: 5,"MG34: 49, FG42: 11, WALTHER P38: 8, MP40: 2, KARABINER 98K: 2, TELLERMINE 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/108
phx.Maawlz,69,48,1.44,7,0.88,0.61,6,0,1,1,10.00,0.00,daniel.08301: 4,nikodem55252: 4,"M1 GARAND: 58, BAZOOKA: 6, MK2 GRENADE: 4, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/108
phx.b0rni,77,31,2.48,10,0.86,0.35,3,1,0,0,9.00,1.00,eQQe: 4,JürgenCleansman: 4,"M1 GARAND: 60, M1A1 THOMPSON: 10, MK2 GRENADE: 7",http://teamphx.dynv6.net:8010/#/gamescoreboard/103
Ninjapulver,127,47,2.7,11,1.45,0.54,3,0,0,0,5.00,0.00,phx.b0rni: 4,91.PzG| LeonidaS: 9,"GEWEHR 43: 125, STG44: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
[DC] InVidia,87,44,1.98,11,0.99,0.5,4,0,1,1,8.00,1.00,phx.KAISER Mtbb: 7,phx.SoulRaver: 8,"GEWEHR 43: 82, PANZERSCHRECK: 2, M43 STIELHANDGRANATE: 2, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
[DC] AchtungPanzer,86,35,2.46,40,0.98,0.4,5,10,3,1,22.00,0.00,phx.Bodinger: 13,phx.Demonsoup: 11,"150MM HOWITZER [sFH 18]: 66, GEWEHR 43: 19, M1A1 AT MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
ムRaptorム,85,39,2.18,15,0.97,0.44,4,1,1,1,6.00,0.00,[CSP]ronin: 6,[38.] deen: 7,"MG42: 65, STG44: 11, LUGER P08: 5, KARABINER 98K: 3, MP40: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
[38.] YoloLink,83,3,27.67,39,0.94,0.03,1,3,0,0,33.00,12.00,[38.] sirass: 2,91.PzG| LeonidaS: 5,"88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 46, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 19, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 15, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
phx.KAISER Mtbb,82,47,1.74,8,0.92,0.53,4,1,1,1,8.00,0.00,[CSP] ClawHawkCZE: 5,[CSP] Raven(CZ): 9,"M1 GARAND: 73, BROWNING M1919: 8, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
Steven,81,42,1.93,13,0.92,0.48,3,0,0,0,6.00,1.00,phx.limette: 3,91.PzG| ArcherHD: 6,"GEWEHR 43: 79, M43 STIELHANDGRANATE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
Bleicher Junge,79,46,1.72,10,0.9,0.53,6,0,1,1,6.00,0.00,phx.b0rni: 5,phx.mööp: 8,"GEWEHR 43: 72, KARABINER 98K: 7",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
phx.b0rni,71,53,1.34,9,0.8,0.6,6,0,0,0,5.00,0.00,[DC] Raibe: 4,Tempi: 6,"M1 GARAND: 55, M1A1 THOMPSON: 11, MK2 GRENADE: 4, M3 GREASE GUN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
alex1b0ss,69,7,9.86,15,0.79,0.08,2,4,1,1,18.00,0.00,[38.] sirass: 3,[CSP] Larry: 6,"88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 33, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 12, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 12, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 6, COAXIAL MG34 [Sd.Kfz.121 Luchs]: 3, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 2, FELDSPATEN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
[38.] sirass,67,9,7.44,21,0.77,0.1,2,2,1,1,16.00,2.00,[38.] YoloLink: 5,[CSP] Oliver Kingg: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 51, 37MM CANNON [Stuart M5A1]: 6, COAXIAL M1919 [Sherman M4A3E2(76)]: 6, COAXIAL M1919 [Stuart M5A1]: 3, COAXIAL M1919 [Sherman M4A1]: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
phx.Apk,67,55,1.22,6,0.76,0.62,5,1,0,0,5.00,0.00,[DC] InVidia: 4,[CSP] Alsad: 4,"M1 GARAND: 46, BAZOOKA: 7, SATCHEL: 6, M1A1 THOMPSON: 5, MK2 GRENADE: 1, BROWNING M1919: 1, Sd.Kfz 251 Half-track: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
phx.SoulRaver,65,60,1.08,9,0.74,0.68,9,0,0,0,4.00,0.00,[DC] InVidia: 8,[DC] Elwahir: 6,"M1 GARAND: 54, SATCHEL: 6, BAZOOKA: 2, M1A1 THOMPSON: 2, 57MM CANNON [M1 57mm]: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/79
phx.b0rni,73,18,4.06,14,1.09,0.27,3,0,0,0,11.00,1.00,龙 steal.: 2,elkosmos: 5,"GEWEHR 43: 69, KARABINER 98K: 2, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/21
CoRe | xiM,67,17,3.94,18,1.0,0.25,3,0,1,1,27.00,1.00,K4z4mm: 2,[BBS] Schreiner: 4,"M1 GARAND: 64, MK2 GRENADE: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/21
